"Cluster","CellType","Freq"
"0","astrocytes",0
"1","astrocytes",0
"2","astrocytes",57
"3","astrocytes",1
"4","astrocytes",3
"5","astrocytes",1
"6","astrocytes",0
"0","endothelial",0
"1","endothelial",0
"2","endothelial",0
"3","endothelial",0
"4","endothelial",17
"5","endothelial",3
"6","endothelial",0
"0","fetal_quiescent",110
"1","fetal_quiescent",0
"2","fetal_quiescent",0
"3","fetal_quiescent",0
"4","fetal_quiescent",0
"5","fetal_quiescent",0
"6","fetal_quiescent",0
"0","fetal_replicating",8
"1","fetal_replicating",0
"2","fetal_replicating",0
"3","fetal_replicating",0
"4","fetal_replicating",17
"5","fetal_replicating",0
"6","fetal_replicating",0
"0","hybrid",0
"1","hybrid",12
"2","hybrid",10
"3","hybrid",11
"4","hybrid",9
"5","hybrid",2
"6","hybrid",2
"0","microglia",0
"1","microglia",0
"2","microglia",0
"3","microglia",0
"4","microglia",1
"5","microglia",1
"6","microglia",14
"0","neurons",0
"1","neurons",76
"2","neurons",1
"3","neurons",52
"4","neurons",1
"5","neurons",0
"6","neurons",1
"0","oligodendrocytes",0
"1","oligodendrocytes",1
"2","oligodendrocytes",0
"3","oligodendrocytes",0
"4","oligodendrocytes",1
"5","oligodendrocytes",36
"6","oligodendrocytes",0
"0","OPC",0
"1","OPC",0
"2","OPC",0
"3","OPC",0
"4","OPC",14
"5","OPC",0
"6","OPC",4
