"Var1","Var2","Freq"
"0","astrocytes",0
"1","astrocytes",0
"2","astrocytes",57
"3","astrocytes",4
"4","astrocytes",1
"5","astrocytes",0
"6","astrocytes",0
"7","astrocytes",0
"8","astrocytes",0
"0","endothelial",0
"1","endothelial",0
"2","endothelial",1
"3","endothelial",0
"4","endothelial",1
"5","endothelial",0
"6","endothelial",18
"7","endothelial",0
"8","endothelial",0
"0","fetal_quiescent",106
"1","fetal_quiescent",1
"2","fetal_quiescent",0
"3","fetal_quiescent",0
"4","fetal_quiescent",0
"5","fetal_quiescent",0
"6","fetal_quiescent",1
"7","fetal_quiescent",0
"8","fetal_quiescent",2
"0","fetal_replicating",6
"1","fetal_replicating",0
"2","fetal_replicating",0
"3","fetal_replicating",0
"4","fetal_replicating",0
"5","fetal_replicating",1
"6","fetal_replicating",0
"7","fetal_replicating",0
"8","fetal_replicating",18
"0","hybrid",0
"1","hybrid",6
"2","hybrid",1
"3","hybrid",20
"4","hybrid",2
"5","hybrid",7
"6","hybrid",7
"7","hybrid",2
"8","hybrid",0
"0","microglia",0
"1","microglia",0
"2","microglia",0
"3","microglia",0
"4","microglia",1
"5","microglia",1
"6","microglia",0
"7","microglia",14
"8","microglia",0
"0","neurons",2
"1","neurons",90
"2","neurons",1
"3","neurons",24
"4","neurons",0
"5","neurons",6
"6","neurons",3
"7","neurons",2
"8","neurons",0
"0","oligodendrocytes",0
"1","oligodendrocytes",1
"2","oligodendrocytes",0
"3","oligodendrocytes",0
"4","oligodendrocytes",35
"5","oligodendrocytes",2
"6","oligodendrocytes",0
"7","oligodendrocytes",0
"8","oligodendrocytes",0
"0","OPC",0
"1","OPC",0
"2","OPC",0
"3","OPC",0
"4","OPC",0
"5","OPC",14
"6","OPC",0
"7","OPC",4
"8","OPC",0
