"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.86684376230694e-41,2.26266616910361,0.907,0.268,1.33326638488951e-36,"0","SYNPR"
4.17243272559419e-40,1.96172587360071,0.963,0.346,8.10119538001369e-36,"0","GABRB2"
1.25430142490089e-38,2.09552681466686,0.935,0.33,2.43535164658757e-34,"0","GABRA1"
1.94345764829973e-38,1.8570636009592,0.972,0.4,3.77341736993876e-34,"0","GAD1"
1.30871111419309e-36,2.25668821048319,0.869,0.254,2.5409934993173e-32,"0","GAD2"
1.46995701178371e-36,2.51061327560307,0.785,0.155,2.85406853407925e-32,"0","ENTPD3"
2.6559281840831e-36,2.30315370377073,0.822,0.192,5.15675016221574e-32,"0","IGF1"
3.22055952686919e-36,2.32115699586867,0.869,0.225,6.25303837736922e-32,"0","CKMT1B"
6.4758506891614e-36,2.01057285142209,0.907,0.358,1.25735116980758e-31,"0","NRIP3"
1.69056002274295e-35,2.53715470830665,0.794,0.197,3.2823913401577e-31,"0","CALB2"
1.26264735560611e-34,2.14359174569457,0.888,0.296,2.45155610564482e-30,"0","KCNC2"
2.90370959388809e-34,1.84690230035363,0.953,0.358,5.63784254749311e-30,"0","GABRG2"
3.57323442732374e-33,1.47981460091764,0.991,0.468,6.93779196409177e-29,"0","NRXN3"
1.00255552117944e-32,3.31289883867171,0.626,0.107,1.946561799922e-28,"0","ABTB3"
2.53907163355053e-32,2.11540885405204,0.86,0.301,4.9298614837017e-28,"0","CCK"
9.74376635647225e-32,1.9313808775852,0.879,0.358,1.89184967577265e-27,"0","VSTM2A"
3.07064338574401e-31,2.10672825822012,0.86,0.262,5.96196119776056e-27,"0","SLC12A5"
1.82460190656981e-30,1.83656180091826,0.916,0.352,3.54264706179595e-26,"0","TMEM130"
2.05393810346024e-30,1.71605499598697,0.925,0.439,3.98792622167841e-26,"0","ZNF385D"
2.68692159815124e-30,1.76319246214474,0.907,0.361,5.21692697497044e-26,"0","VSNL1"
3.832563837532e-30,1.5063805836217,0.963,0.487,7.44130594695213e-26,"0","SCG2"
8.65841938849654e-30,1.90974363631685,0.85,0.273,1.68111870847049e-25,"0","CIT"
4.4518674008532e-29,2.771019200695,0.645,0.124,8.64374574549657e-25,"0","FAM153A"
1.10727163367692e-28,1.90120041274926,0.916,0.369,2.14987860394711e-24,"0","SCN1A"
3.29629746720997e-28,1.4268888936276,0.953,0.473,6.40009116233488e-24,"0","CNTNAP2"
3.34462610474901e-28,1.83827819101869,0.869,0.307,6.49392604498067e-24,"0","CHGB"
4.70621001061696e-28,2.12373727437951,0.738,0.192,9.13757735661388e-24,"0","DLX1"
4.90977725289285e-28,1.89283958659935,0.832,0.296,9.53282351421675e-24,"0","CAMK2A"
6.48699011122194e-28,1.47241334709465,0.944,0.411,1.25951399999485e-23,"0","UNC80"
8.76520035692828e-28,2.09161208771343,0.804,0.282,1.70185130130119e-23,"0","INPP4B"
2.01350056767614e-27,2.00942997771084,0.832,0.251,3.9094127022e-23,"0","SYP"
3.00477415652126e-27,1.88188039559348,0.85,0.279,5.83406950230168e-23,"0","SEZ6L2"
5.65282857442123e-27,2.83969493803355,0.598,0.121,1.09755319600963e-22,"0","VWC2"
5.73203639205108e-27,1.69288474143283,0.869,0.304,1.11293218588064e-22,"0","RAB3C"
1.04747471120293e-26,1.88281437559929,0.813,0.315,2.03377689927162e-22,"0","RGS12"
1.08737709801267e-26,1.71039526452202,0.879,0.341,2.11125137350141e-22,"0","KCNJ3"
1.22468853853861e-26,1.46076296169874,0.953,0.383,2.37785526642656e-22,"0","GPRASP1"
1.78967464179422e-26,1.62369984581016,0.888,0.372,3.47483228450765e-22,"0","STEAP2"
2.23963178374359e-26,1.97258611005396,0.785,0.251,4.34846907131655e-22,"0","PCSK2"
2.27002244793305e-26,1.68123434856385,0.86,0.38,4.40747558490681e-22,"0","NAP1L5"
2.86998367184015e-26,2.87479358342955,0.561,0.101,5.57236029724485e-22,"0","PCP4L1"
1.25333216971125e-25,1.79242985107915,0.822,0.307,2.43346974071137e-21,"0","PARM1"
1.31360006915479e-25,1.92097769084817,0.822,0.296,2.55048589427093e-21,"0","NEK10"
1.61530420575012e-25,1.64680657204389,0.869,0.369,3.13627464588444e-21,"0","SNX10"
3.20989774400889e-25,1.83884632176398,0.822,0.313,6.23233745976766e-21,"0","KCNB1"
4.19087111523406e-25,1.79893605634274,0.794,0.279,8.13699535733845e-21,"0","RCAN2"
5.10093476148959e-25,2.5292876726027,0.598,0.124,9.90397493290819e-21,"0","KCNIP2"
5.12930693226987e-25,1.90465957290169,0.776,0.231,9.95906233969518e-21,"0","SYN1"
1.3000068782534e-24,1.74575894608115,0.832,0.293,2.5240933548168e-20,"0","MAP7D2"
1.62571208398769e-24,2.24244229196461,0.682,0.2,3.15648258227049e-20,"0","RASGRF1"
3.07839670899064e-24,2.63253463847471,0.523,0.09,5.97701505017623e-20,"0","SLC32A1"
3.11817325761141e-24,2.1036367765195,0.701,0.197,6.05424519697831e-20,"0","DGKB"
4.45876239908231e-24,1.65490660217568,0.86,0.313,8.65713307405821e-20,"0","CHD5"
5.08601273690965e-24,3.10596995171699,0.477,0.07,9.87500232998377e-20,"0","SYTL5"
5.72360536586269e-24,1.89268409298774,0.748,0.225,1.1112952178359e-19,"0","FRMPD4"
6.61914773141377e-24,1.38673139521025,0.935,0.445,1.2851737235313e-19,"0","GABBR2"
6.77462048001928e-24,1.24654495725391,0.972,0.549,1.31536031240054e-19,"0","PNMA2"
7.95493317843945e-24,1.44470185713486,0.944,0.423,1.5445298259258e-19,"0","RIMS2"
1.07870563579603e-23,1.57428382745739,0.869,0.332,2.09441486246157e-19,"0","DNM1"
1.31934843287783e-23,1.82676806632603,0.738,0.223,2.56164691727559e-19,"0","PTPRN"
2.46504672176012e-23,1.43061994947887,0.907,0.456,4.78613471496946e-19,"0","FGF14"
3.1342643009209e-23,1.41481060461533,0.879,0.346,6.08548756666802e-19,"0","CAMK2B"
3.5279515069391e-23,2.43791782455418,0.607,0.146,6.84987064587296e-19,"0","RPH3A"
4.32901030771798e-23,1.83626296823587,0.813,0.313,8.40520641346522e-19,"0","FAM153CP"
4.67138289388954e-23,1.67267087682135,0.86,0.363,9.06995702677593e-19,"0","STXBP5L"
7.60849903681089e-23,1.40761440572792,0.888,0.389,1.4772661729872e-18,"0","THY1"
1.1191347253883e-22,1.72657721362528,0.766,0.254,2.17291198281392e-18,"0","SULT4A1"
1.17988229546554e-22,1.86750862531699,0.72,0.225,2.29085946487588e-18,"0","LASP1NB"
