"cluster","gene","log2 fold change","p-value","Upper bound","Lower bound"
"1","CTNNA3",9.97469648206594,1.35005138101431e-10,10.4280917767053,9.24926401064297
"1","CERCAM",10.0049228350419,1.35005138101431e-10,10.3676390707534,9.4306221284987
"1","MAL",10.0049228350419,1.35005138101431e-10,10.3676390707534,9.58175389337852
"1","C10orf90",10.0653755409938,1.35005138101431e-10,10.4280917767053,9.55152754040256
"1","HSPA2",10.0653755409938,1.35005138101431e-10,10.4280917767053,3.71784141604275
"1","CDH19",10.1258282469457,1.35005138101431e-10,10.4885444826572,9.46084848147469
"1","CAPN3",10.1560545999217,1.35005138101431e-10,10.5489971886091,9.70265930528234
"1","CLMN",10.1560545999217,1.35005138101431e-10,10.4583181296813,2.99240894461978
"1","ADAMTS4",10.2165073058736,1.35005138101431e-10,10.5792235415851,9.67243295230639
"1","CARNS1",10.2165073058736,1.35005138101431e-10,10.5792235415851,9.64220659933043
"1","FOLH1",10.2769600118255,1.35005138101431e-10,10.7303553064649,9.76311201123425
"1","SLCO1A2",10.2769600118255,1.35005138101431e-10,10.639676247537,5.62210165352808
"1","LPAR1",10.3071863648015,1.35005138101431e-10,10.669902600513,9.82356471718617
"1","ABCA8",10.3374127177775,1.35005138101431e-10,10.7001289534889,9.58175389337852
"1","RNASE1",10.3978654237294,1.35005138101431e-10,10.7001289534889,4.0503312987783
"1","ANLN",10.4583181296813,1.35005138101431e-10,10.7303553064649,2.35765553212468
"1","KLK6",10.4885444826572,1.35005138101431e-10,10.8814870713447,5.44074353567235
"1","MAG",10.4885444826572,1.35005138101431e-10,10.9117134243206,10.1560545999217
"1","OPALIN",10.6094498945611,1.35005138101431e-10,10.9419397772966,3.29467247437936
"1","CNDP1",10.669902600513,1.35005138101431e-10,11.0023924832485,10.1560545999217
"10","CLU",-11.2744296600321,7.33471649862297e-11,-10.639676247537,-11.4255614249119
"10","SPARCL1",-11.1232978951523,7.33471649862297e-11,-10.1258282469457,-11.2744296600321
"10","B2M",-10.8814870713447,7.33471649862297e-11,-10.2769600118255,-11.0628451892004
"10","ALDOC",-10.8512607183687,7.33471649862297e-11,-9.94447012908999,-11.0023924832485
"10","IL6ST",-10.669902600513,7.33471649862297e-11,-10.1560545999217,-10.8814870713447
"10","DOCK10",-10.5489971886091,7.33471649862297e-11,-9.55152754040256,-10.7001289534889
"10","SLC1A3",-10.5489971886091,7.33471649862297e-11,-9.85379107016212,-10.8210343653927
"10","HTRA1",-10.5187708356332,7.33471649862297e-11,-10.0049228350419,-10.7303553064649
"10","GABRA1",-10.4885444826572,7.33471649862297e-11,-9.79333836421021,-10.7303553064649
"10","PTGDS",-10.3978654237294,7.33471649862297e-11,-9.7328856582583,-10.5489971886091
"10","S100B",-10.3978654237294,7.33471649862297e-11,-9.61198024635447,-10.5792235415851
"10","MBP",-10.3676390707534,7.33471649862297e-11,-9.85379107016212,-10.5792235415851
"10","PON2",-10.3676390707534,7.33471649862297e-11,-9.85379107016212,-10.7303553064649
"10","CCK",-10.3374127177775,7.33471649862297e-11,-9.58175389337852,-10.5187708356332
"10","CIT",-10.3374127177775,7.33471649862297e-11,-9.40039577552275,-10.5187708356332
"10","SYNPR",-10.3374127177775,7.33471649862297e-11,-9.79333836421021,-10.5792235415851
"10","TMEM144",-10.3374127177775,7.33471649862297e-11,-9.58175389337852,-10.4885444826572
"10","CA2",-10.3071863648015,7.33471649862297e-11,-9.40039577552275,-10.4583181296813
"10","NPAS3",-10.3071863648015,7.33471649862297e-11,-9.64220659933043,-10.5792235415851
"10","NEUROD6",10.9419397772966,7.33471649862297e-11,11.2139769540802,10.4583181296813
"2","ETNPPL",1.81358117855745,0.00177739376106324,2.38788188510064,1.14860141308638
"2","DDX3Y",1.75312847260553,0.00318035634589226,2.32742917914872,1.08814870713447
"2","LDOC1",9.55152754040256,0.00318035634589226,10.1258282469457,2.78082447378808
"2","FIBIN",9.67243295230639,0.00318035634589226,10.4280917767053,3.17376706247553
"2","SELENBP1",9.79333836421021,0.00318035634589226,10.3071863648015,1.57177035474979
"2","AGT",1.6322230607017,0.00355818498235205,2.26697647319681,0.997469648206594
"2","AQP4",1.66244941367766,0.00355818498235205,2.26697647319681,1.05792235415851
"2","MGST1",1.6322230607017,0.0039449240038413,2.38788188510064,1.08814870713447
"2","FGFR3",1.51131764879787,0.00507864854010402,2.32742917914872,0.967243295230639
"2","BMPR1B",1.57177035474979,0.00507864854010402,2.17629741426894,0.906790589278723
"2","GJB6",1.57177035474979,0.00507864854010402,2.38788188510064,0.997469648206594
"2","GJA1",1.60199670772574,0.00507864854010402,2.17629741426894,0.906790589278723
"2","SLCO1C1",1.6322230607017,0.00507864854010402,2.23675012022085,0.937016942254679
"2","SLC25A18",1.69267576665362,0.00507864854010402,2.35765553212468,0.967243295230639
